SAMindex,TC_mean,ln(-c_interface_mean),c_interface_mean_to1,SAM_length_gm_mean_to1,Water_bending_overlap_factor_to1,Water_stretching_overlap_factor_to1,5P1Z,6P1F,7P2Z,8P1F,9P1F,12P1Z
SAM052,222.5885,5.586769178,0.821520577,0,0.538863223,0.18093574,-3.60515581,0,-1.594981346,1.093886618,1.019753731,-1.690268582
SAM053,164.7975,5.1512914,0.899590944,0.355226736,0.343312397,0.55706059,-5.017305819,1.728562305,-2.435933506,2.011646001,1.896450373,-2.41095222
SAM054,153.09925,5.110391165,0.90532426,0.560314703,0.235730918,0.100044292,-5.165907273,2.018350259,-2.688034044,2.271631898,2.150859346,-2.681262633
SAM055,167.82075,5.501267494,0.839642207,0.441383757,0.407990641,0.261829112,-3.857148323,1.335310254,-2.129915292,1.64439356,1.565309685,-2.188773598
SAM056,143.0795,4.938508104,0.927011887,0.263736161,0.094529689,0.185573712,-5.817700767,1.913400529,-2.592449611,2.21088318,2.063750321,-2.631407208
SAM057,240.311,5.858864023,0.752369236,0.207596943,0.475088023,0.535588616,-2.885737524,0.470844939,-1.509316159,0.891567729,0.207596943,-1.695084423
SAM058,77.07575,4.375974799,0.976765824,0.348952352,0.478958034,0.108492648,-8.187642766,3.223989889,-3.392466901,3.109949139,2.845307576,-3.41520476
SAM059,162.82475,5.106300202,0.905884928,0.354553762,0.067788655,0.077551811,-5.180913057,1.795774982,-2.486991416,2.071388019,1.950042845,-2.481822456
SAM060,163.94175,5.263325858,0.882630475,0.337889594,0.082447404,0.10715409,-4.623836478,1.538135002,-2.291210225,1.84629543,1.744984965,-2.161170265
SAM061,138.26825,4.878812382,0.933713286,0.355373559,0.058356966,0.08296596,-6.053715359,2.162375974,-2.755355358,2.386271389,2.228889439,-2.8028038
SAM062,142.36,4.938782109,0.926980196,0.327502898,0.298556833,0.186282596,-5.816628363,2.021223397,-2.655891101,2.274267589,2.127180482,-2.694802634
SAM063,187.5105,5.33471716,0.87078842,0.203416413,0.287561839,1,-4.383798414,1.181673361,-2.076530392,1.619168106,1.525616672,-2.039124131
SAM064,158.6075,5.126943536,0.90303219,0.320867519,0.155804098,0.298713757,-5.105455509,1.714447632,-2.429526149,2.009910572,1.891427448,-2.415895827
SAM065,141.4815,4.873956223,0.934241043,0.229477535,0.072864218,0.102213575,-6.073118307,1.951966697,-2.635293774,2.267227175,2.108986931,-2.683304527
SAM066,136.882,5.24313978,0.885828361,0.468462992,0.065686389,0.129306461,-4.693232977,1.730899545,-2.444593504,2.00329069,1.899630639,-2.34791587
SAM067,163.522,5.140218967,0.901166276,0.36546363,0.053323049,0.053768507,-5.057278153,1.759440588,-2.458869302,2.036698184,1.920019383,-2.439255435
SAM068,76.511,4.180879779,0.98844429,0.230593917,0.18377058,0.43373078,-9.053312421,3.721221198,-3.555146961,3.277161948,2.96238188,-3.523357676
SAM069,155.9785,5.056145716,0.91257539,0.376143855,0.051886978,0.065557878,-5.366945903,1.902693062,-2.56667339,2.161001218,2.032417827,-2.578652511
SAM070,122.08875,5.071335826,0.91058438,0.369171626,0.230125522,0.438186932,-5.31020297,1.86974427,-2.542058196,2.133352051,2.007003364,-2.549288638
SAM071,74.39125,4.387450081,0.97600537,0.260076743,0.110346233,0.199388851,-8.136979283,3.044416943,-3.287763765,3.004196044,2.742378761,-3.312853876
SAM072,90.64,4.777126403,0.944246535,0.458298772,0.408404097,0.158075132,-6.466023212,2.468151866,-2.981700682,2.633796134,2.457679323,-3.037290014
SAM073,85.97725,4.64785502,0.956180018,0.451572398,0.41716402,0.177466348,-7.006673392,2.70783469,-3.136108156,2.813830227,2.611634846,-3.192030263
