SAMindex,EGsmlie2D,TC_mean,c_interface_mean,SAM_length_mean,Water_all_overlap_factor
SAM057,CC(=O)NC/C(N)=N/O,240.311,-350.3259556,13.26902198,0.372669885
SAM052,NC(=O)C(=O)NO,222.5885,-266.8720095,10.63991003,0.345379976
SAM135,N[C@@H](C[NH3+])[P@](=O)([O-])O,220.519,-1258.308078,15.91757588,0.347485554
SAM273,C[C@@H](O)[C@H](N)C(N)=O,210.4105,-221.6512369,13.47557199,0.342993094
SAM021,CNC(N=N)NN,205.80975,-203.4426771,12.56516898,0.399295685
SAM016,C=CCNC(=O)C(N)=O,200.10075,-227.1004045,13.3060637,0.318109384
