SAMindex,EGsmlie2D,TC_mean,c_interface_mean,SAM_length_mean,Water_all_overlap_factor
SAM258,CC(=O)NCCN[C@H]1CC(=O)NC1=O,136.219,-229.3280302,17.73795568,0.319123154
SAM259,NC(=O)c1nc(N)nc2[nH]cnc12,147.1855,-233.0725197,15.0577918,0.379286099
SAM260,CC(=O)NCSC[C@H](N)C(N)=O,161.81775,-182.4092469,17.53477065,0.344871016
SAM261,CC(=O)N[C@@H](Cc1cnc[nH]1)C(N)=O,106.74475,-95.01562741,17.14115376,0.352459866
SAM262,CNC(=O)CCNC(=O)CN(C)C,56.32275,-73.41927822,18.39040894,0.311593736
SAM263,CC(=O)N[C@H](Cc1cnc[nH]1)C(N)=O,121.72925,-125.1217781,17.35869818,0.357308473
SAM264,CNC(=O)[C@H]1CNCCO1,88.4485,-107.2834695,15.49722598,0.30474224
SAM265,C[NH2+][C@@H](CN)C(=O)[O-],143.39175,-224.044494,12.8663786,0.346819561
SAM266,COC(=O)C1(N)CNC1,105.022,-116.2888463,14.50927683,0.295512523
SAM267,COCCN[C@H]1CC(=O)NC1=O,137.77775,-237.0880431,16.65320608,0.300031223
SAM268,COC[C@@H](N)C(N)=O,171.327,-184.2674479,13.96922783,0.329463544
SAM269,COC[C@H](N)C(N)=O,164.4095,-179.5165799,13.73137451,0.324816985
SAM270,C[C@@H](NC(=O)CN)C(N)=O,109.47,-104.0513766,13.45703673,0.353922427
SAM271,C[C@@H](O)[C@@H](N)C(N)=O,186.62825,-221.8031871,13.48203523,0.340141767
SAM272,C[C@@]1(C(=O)NCCO)CNCCO1,79.8305,-155.6957056,21.62121965,0.299232349
SAM274,Cn1c(CN)n[nH]c1=O,145.427,-201.320256,15.77572999,0.350496313
SAM275,NC(=O)[C@H](N)CO,154.62575,-166.3726642,12.31261317,0.326913875
SAM276,NC(=O)[C@@H](N)CO,152.52825,-161.2296663,12.38928558,0.331562429
SAM277,NC(=O)C(=O)N1CCNCC1,84.62875,-117.760385,15.06487003,0.308699146
SAM278,NC(=O)CCN1CCN(C=O)CC1,143.44975,-264.0756791,17.84695507,0.298324167
SAM279,NC(=O)CN1CCC[C@H](C(N)=O)C1,153.3895,-177.6833375,17.36224921,0.318650685
SAM280,NC(=O)C[C@@H]1COCCN1,61.3245,-83.20042505,15.10817741,0.30234693
SAM281,NC(=O)C[C@H]1COCCN1,56.52975,-77.43801702,15.39706843,0.295658726
SAM282,NC(=O)[C@@H]1Cc2nc[nH]c2CN1,130.57225,-195.9827161,15.57201452,0.344169524
SAM283,NC(=O)[C@@H]1CNCCC1=O,88.1515,-114.5746388,14.51861981,0.318417088
SAM284,NC(=O)[C@@H]1CNCCO1,77.6795,-90.05122434,14.22548082,0.304416167
SAM285,NC(=O)[C@@]1(N)CCOC1,84.96375,-124.0216003,12.95235576,0.29805012
SAM286,NC(=O)[C@H]1CNCCO1,77.53575,-91.35119952,14.21183438,0.302975106
SAM287,NC(=O)[C@]1(N)CCOC1,79.212,-123.4585536,12.64086254,0.296152713
SAM288,NC(=O)[C@H]1Cc2nc[nH]c2CN1,132.676,-203.4650432,15.59046987,0.340917591
SAM289,NC(=O)[C@H]1CNCCC1=O,85.12325,-113.8926491,14.49333099,0.313838866
SAM290,NCc1nc(N)n[nH]1,154.91075,-94.13205266,12.77186191,0.367234981
SAM291,NCc1nc(N)nc(N)n1,143.9275,-123.0207592,14.24785947,0.390890499
SAM292,N[C@@H]1CC[NH2+][C@@H]1C(=O)[O-],169.6565,-315.3291867,13.04865385,0.323849093
SAM293,N[C@@H]1C[NH2+][C@H](C(=O)[O-])C1,184.703,-413.4664354,13.43518185,0.320103249
SAM294,N[C@@H]1C[NH2+][C@@H](C(=O)[O-])C1,184.987,-412.2425346,13.54759458,0.31798776
SAM295,N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,164.41975,-172.5155295,13.62373858,0.308097272
SAM296,N[C@H]1C[NH2+][C@H](C(=O)[O-])C1,183.9305,-437.3658873,13.5621527,0.321298029
SAM297,CNC(=O)NC[C@@H]1COCCN1,76.0695,-115.7597434,17.47934395,0.306194204
SAM298,NC(=O)c1nc[nH]n1,145.1265,-128.4109648,12.7512249,0.3258564
SAM299,NC(=O)c1nc(N)nc2c1CNCC2,89.19175,-110.0975238,15.93100885,0.346992884
SAM300,CNC(=O)[C@@H](N)[C@@H](C)O,84.56275,-76.18953557,14.51265284,0.326559794
