SAMindex,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
SAM263,121.72925,121.64803,120.17757,112.949326,122.71723,119.178055,119.98925,120.84385,121.13753,121.618675,122.19598
SAM264,88.4485,79.993286,86.35405,86.70961,88.05229,86.48282,86.94125,87.69912,87.6163,86.93085,85.84383
SAM265,143.39175,143.17947,160.09155,144.13556,143.42386,142.64636,145.38292,142.64543,144.79073,145.34944,143.9331
SAM266,105.022,101.17221,101.011215,101.04802,83.17083,100.921936,100.719795,102.55394,100.36478,102.306496,99.5973
SAM267,137.77775,138.13792,137.29733,140.50255,137.09842,138.3689,138.10678,137.47412,137.72752,136.3847,138.28886
SAM268,171.327,171.47618,172.29498,171.12492,170.95087,171.62091,171.03467,170.28271,171.66231,172.56844,171.35399
SAM269,164.4095,165.48882,163.60818,165.69136,164.09528,164.05943,163.83525,164.32178,164.52606,164.73859,165.90071
SAM270,109.47,109.31402,109.552,112.18653,110.25902,110.49069,110.01594,109.92222,110.33931,109.829895,108.403984
SAM271,186.62825,191.67914,192.68472,189.6555,192.53114,190.59344,191.0338,190.60713,204.0222,191.79745,191.56467
SAM272,79.8305,82.41825,80.432106,82.88413,81.75952,80.627815,81.50244,81.39831,81.55141,100.496635,81.28471
SAM273,210.4105,206.06696,206.61186,181.7319,205.262,206.96695,207.81882,206.33858,208.88657,206.89813,208.07513
SAM274,145.427,146.82292,145.65442,146.12363,149.55273,144.38245,146.01984,145.21129,144.97517,145.67058,145.39107
SAM275,154.62575,155.28984,157.54066,163.09422,156.599,156.08398,156.50632,157.8241,157.85423,156.3374,156.29285
SAM276,152.52825,147.31464,151.88107,151.77924,150.49261,151.79033,151.07227,150.17923,151.9718,152.32452,151.59697
SAM277,84.62875,84.98303,86.06789,85.63619,86.01122,86.23806,84.31274,85.53785,96.43338,85.998474,87.009224
SAM278,143.44975,144.16106,143.40216,143.25406,144.61745,143.25017,143.78519,144.20842,144.07732,143.33122,144.3184
SAM279,153.3895,153.36977,153.4282,151.78732,151.69281,139.90521,151.99971,153.62984,152.0024,151.62099,152.54129
SAM280,61.3245,60.750164,67.32233,60.302826,60.959816,60.61468,60.23899,59.87595,62.16887,60.35292,60.32368
SAM281,56.52975,59.289974,58.448437,59.432243,57.80658,57.799232,59.251396,61.604576,74.240555,58.47074,57.745102
SAM282,130.57225,131.27615,128.76917,131.01787,130.3105,129.81529,130.23613,130.43336,130.81892,129.82393,130.08728
SAM283,88.1515,86.85429,87.201195,86.938934,83.344826,86.84098,88.033585,87.603325,87.498245,86.99434,86.380325
SAM284,77.6795,79.45858,77.349815,77.85715,77.12983,76.639,76.75401,77.47888,78.08591,75.67913,77.893654
SAM285,84.96375,85.07003,86.03098,86.84727,98.62283,85.5869,85.08611,85.971375,86.36939,86.18604,85.74921
SAM286,77.53575,77.77241,78.67917,79.25132,78.39467,78.85254,78.434784,77.53655,76.6904,79.854065,77.9191
SAM287,79.212,79.66035,79.31871,78.594604,79.88235,79.85818,80.17156,79.15371,78.507324,84.34163,78.262856
SAM288,132.676,131.36746,133.07445,132.26299,132.65778,132.43736,133.13165,133.91046,132.51111,132.15962,131.69627
SAM289,85.12325,87.26749,87.13636,86.29217,85.402725,86.10038,87.185,86.621704,87.343506,86.77594,87.319466
SAM290,154.91075,149.72206,148.81786,147.44826,148.31396,147.7704,106.35157,149.12218,149.53143,147.53403,149.58495
SAM291,143.9275,143.72893,144.89107,143.61652,143.6757,143.43758,142.4239,143.25276,143.9676,142.51485,132.28003
SAM292,169.6565,166.86726,167.85127,167.40378,166.21144,166.01779,165.33325,168.51326,168.21967,166.6987,166.84608
SAM293,184.703,186.507,186.48093,184.22192,186.09271,185.82983,189.2162,185.65958,185.16263,185.6528,186.73259
SAM294,184.987,185.65947,181.19139,184.64134,184.86572,184.50966,183.06694,184.31746,183.45241,184.79295,185.32454
SAM295,164.41975,165.35352,164.09877,163.6281,164.2586,164.59766,163.27855,165.23956,164.89352,163.10858,164.0709
SAM296,183.9305,184.05705,183.04355,186.049,184.38945,184.26186,184.39532,185.22623,184.94727,184.16693,189.75583
SAM297,76.0695,75.13884,74.13824,72.46022,75.49225,75.2078,74.83975,75.05666,75.18368,75.4662,73.96167
SAM298,145.1265,143.35754,144.6095,144.47008,144.94337,143.98741,144.51494,131.16812,142.51755,143.70122,143.34756
SAM299,89.19175,89.658195,90.25681,89.41334,89.484856,89.22774,88.57783,90.43534,89.08123,89.22014,93.5351
SAM300,84.56275,83.42663,84.041016,83.15679,83.2065,82.53025,82.69001,81.990654,76.25801,84.19879,83.68823
