,SAMindex,TC_mean,E_pair_var,c_interface_up_mean,c_interface_dw_mean,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
184,SAM185,83.20275,50594.89914,-120.0490658,-109.1747341,0.515522054,0.467823106,10.05365156,72.47,-1.454,42.4605
185,SAM186,102.002,51131.12567,-156.8150998,-133.0866191,0.547737577,0.463022878,9.473725908,104.16,-1.1602,40.301
186,SAM187,117.39975,50044.56656,-127.0926621,-99.84835524,0.529700176,0.384879731,24.42364365,68.15,-1.3166,34.6926
187,SAM188,115.81225,54499.38146,-122.9246523,-99.845754,0.529700176,0.384879731,24.42364365,68.15,-1.3166,34.6926
188,SAM189,116.6605,38992.0022,-128.9280209,-96.66568233,0.529700176,0.384879731,24.42364365,68.15,-1.3166,34.6926
189,SAM190,117.5195,45821.31824,-125.1415072,-98.79717403,0.529700176,0.384879731,24.42364365,68.15,-1.3166,34.6926
190,SAM191,116.57475,51077.22184,-122.3722627,-94.74450329,0.529700176,0.384879731,24.42364365,68.15,-1.3166,34.6926
191,SAM192,104.15825,46015.37451,-160.5092945,-137.5049697,0.423052586,0.302116828,5.207253025,66.4,-1.0752,19.766
192,SAM193,109.14,54833.75068,-148.3088676,-124.5403802,0.437458201,0.394544193,15.52984339,69.56,-1.5243,31.7763
193,SAM194,95.9265,51958.16105,-125.682498,-108.3676184,0.496551998,0.357642506,10.63357721,58.2,-1.1315,32.7504
194,SAM195,114.667,53401.12038,-231.5623416,-268.5628398,0.501498901,0.351881152,0.0,82.67,-1.6262,46.931
195,SAM196,114.02725,51368.88599,-86.99061222,-75.02777994,0.508907523,0.369668098,11.46733495,110.68,-1.1952,38.3105
196,SAM197,77.1865,61859.2361,-60.74646044,-42.20874595,0.586255585,0.397540576,16.0344346,91.11,-1.0842,44.3088
197,SAM198,101.528,39022.56737,-110.7012249,-94.26344159,0.531927096,0.379251734,11.46733495,108.03,-1.3204,31.6088
198,SAM199,108.5405,50500.07675,-99.00972658,-86.44157866,0.523364294,0.36928631,5.733667477,84.66,-1.1675,29.2811
199,SAM200,100.34075,61488.87966,-98.99210433,-86.05509234,0.377939843,0.386523616,10.84019487,92.42,-1.8264,24.8119
200,SAM201,77.5845,57862.30185,-128.1598614,-110.5637049,0.574169192,0.378792718,15.78731903,67.59,-1.0131,44.8451
201,SAM202,115.9935,57078.08604,-144.0709092,-121.6431361,0.404730998,0.394542976,16.15698348,75.35,-1.353,24.6719
202,SAM203,123.3615,42179.27276,-201.9664714,-161.1574371,0.312312984,0.393749335,26.37003827,115.81,-2.6296,36.7075
203,SAM204,76.6275,63545.26297,-90.3642803,-82.88999974,0.335604461,0.351595925,11.05045608,79.18,-1.8689,32.5125
