,SAMindex,TC_mean,Peak2_frequency,E_pair_var,TotEng_var,c_interface_up_mean,c_interface_dw_mean,SAM_up_length_gm,SAM_dw_length_gm,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
36,SAM037,190.9025,37.40141163,40182.21889,183660.8152,-258.6945718,-233.4264709,13.02177666,13.21506931,0.30670463,0.361293553,10.57125606,98.49,-1.934,29.1031
37,SAM038,198.18425,37.32183416,34189.181,144196.6635,-224.2259798,-204.9754221,13.9401897,14.05410852,0.348213363,0.368692179,11.05045608,89.26,-1.6995,34.9741
38,SAM039,128.26475,37.32183416,37486.00308,210312.9124,-156.0556349,-139.0113133,14.80675111,14.97315266,0.449971017,0.390616612,20.11411937,77.76,-1.374,34.6544
39,SAM040,155.1605,37.64014404,32985.79558,144416.4162,-197.9980703,-176.2506426,15.81144588,15.57019964,0.342031945,0.393579131,29.95750972,107.22,-2.7247,41.9672
40,SAM041,148.41975,43.76760935,30246.7713,137850.7614,-200.0927737,-181.6115855,18.68795559,19.29717757,0.342031945,0.393579131,29.95750972,107.22,-2.7247,41.9672
41,SAM042,154.39325,37.4809891,45963.60739,211373.4128,-184.2779502,-175.4428952,14.92819853,15.03464935,0.389317323,0.393200655,19.37479049,72.83,-1.2658,34.8838
42,SAM043,144.279,37.4809891,35961.78088,172197.6923,-196.8620153,-172.3720678,14.89664371,14.93915317,0.389317323,0.393200655,19.37479049,72.83,-1.2658,34.8838
43,SAM044,156.47425,43.84718682,35292.42465,170559.3899,-195.0327554,-182.2126638,18.62767102,15.89503418,0.342031945,0.393579131,29.95750972,107.22,-2.7247,41.9672
44,SAM045,131.09375,37.40141163,41349.89584,166683.4935,-171.1383549,-150.6111817,14.76576429,14.91241045,0.431917593,0.390618758,20.11411937,77.76,-1.322,34.3754
45,SAM046,153.00625,37.40141163,48189.63333,228018.9094,-149.2380202,-131.5499773,13.50436758,13.66394634,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
46,SAM047,148.63225,37.40141163,45844.80309,191115.009,-150.8563938,-137.3711864,13.50388463,13.54509646,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
47,SAM048,152.11725,37.40141163,41448.51133,185020.6639,-136.6211285,-128.1920959,12.70768282,12.19118646,0.438303577,0.390250858,15.00759197,57.53,-1.073,23.7516
48,SAM049,164.192,37.40141163,39427.83217,177459.7844,-134.852064,-123.8307876,11.80161811,12.23083039,0.438303577,0.390250858,15.00759197,57.53,-1.073,23.7516
49,SAM050,152.6485,37.40141163,47326.81277,218699.6782,-148.2256395,-133.3643856,13.53884877,13.62794649,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
50,SAM051,144.48675,37.40141163,34715.42328,147431.3089,-137.3557629,-126.481837,13.48555278,13.60515214,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
51,SAM052,222.5885,43.13098958,43861.04382,191604.1983,-277.9469996,-255.7970194,10.41981569,10.6918099,0.187939434,0.361321191,5.733667477,92.42,-2.0229,19.1236
52,SAM053,164.7975,43.44929946,37843.82497,169930.0785,-183.3653489,-161.9432754,15.57884469,15.0303318,0.3277028,0.378540881,19.88823196,145.1,-3.458,32.5724
53,SAM054,153.09925,42.97183463,43164.72489,223103.0451,-174.4058399,-157.064504,17.92504628,18.16748272,0.28614573,0.396306689,15.7401046,78.43,-1.2128,47.9192
54,SAM055,167.82075,37.64014404,38937.79477,190939.3171,-259.6458952,-230.3586537,16.45932525,16.45339603,0.538501866,0.347307244,10.30076712,94.82,-1.021,50.2136
55,SAM056,143.0795,37.32183416,43446.10391,216962.3458,-149.7160519,-129.4077126,14.1930974,13.96993328,0.411549333,0.393567693,15.31958218,60.69,-1.1135,29.2964
56,SAM057,240.311,37.32183416,36600.68209,161729.7421,-361.5455778,-339.1063334,13.40211021,13.25994932,0.191606844,0.40939241,16.25770911,87.71,-1.1311,32.0926
57,SAM058,77.07575,37.32183416,47639.15491,143399.767,-85.52492801,-73.50970234,15.18317288,15.258248,0.46115418,0.367861117,11.05045608,72.19,-1.0938,40.6521
58,SAM059,162.82475,37.64014404,39087.01767,175378.4313,-174.8479617,-155.2691193,15.2827785,15.30840498,0.304727532,0.393567678,25.16297253,90.15,-2.2839,42.7532
59,SAM060,163.94175,44.00634176,37447.74827,167426.6333,-209.0500545,-177.1953919,15.12031351,15.02532697,0.405632135,0.39357889,24.85098232,86.99,-2.0856,35.9604
60,SAM061,138.26825,43.36972199,22667.3024,155628.9289,-137.979703,-124.9691563,15.33272994,15.28037211,0.431917593,0.390724783,20.11411937,77.76,-1.322,34.3754
61,SAM062,142.36,43.05141211,49538.90731,214079.962,-147.6865741,-131.5136822,14.89562317,14.97231249,0.282590971,0.387112606,30.95431424,141.08,-3.8858,39.2856
62,SAM063,187.5105,43.21056705,41628.28766,167446.5151,-219.9578071,-194.870344,12.96670427,13.58358217,0.126082315,0.268414322,0.0,112.31,-1.77243,23.5819
63,SAM064,158.6075,37.40141163,32823.77776,161024.6469,-181.1658201,-155.8368037,14.82542564,14.86510263,0.279978348,0.393579139,30.95431424,124.01,-3.4124,39.1456
64,SAM065,141.4815,37.40141163,48451.25569,212479.9721,-138.102569,-123.5724643,13.56941774,13.67765417,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
65,SAM066,136.882,43.68803188,59146.198,223096.7473,-194.0914459,-184.435386,15.569965,18.06676264,0.323586906,0.369707066,16.36724469,84.71,-1.0586,34.8928
