SAMindex,EGsmlie2D,Category,kinds,UMAP1,UMAP2,TC_mean
SAM126,N[C@H]1C(O)[C@H](O)[C@@H](CO)O[C@H]1O,"1Alcohol, 6Amine, 8Ether",3,5.2643075,3.3546364,171.53725
SAM127,N[C@H]1C(O)[C@H](O)[C@@H](CO)O[C@@H]1O,"1Alcohol, 6Amine, 8Ether",3,6.269789,1.4073273,167.16975
SAM128,N[C@@H]1C(=O)NC[C@H]1O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,6.427663,0.8398994,172.628
SAM129,CNC(=O)[C@H](N)[C@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,3.645101,6.1603293,80.25675
SAM130,NC(=O)C(=O)NCc1cnc[nH]1,"5Ketone, 6Amine, 7Amide",3,8.542079,3.0326397,134.4615
SAM131,NC(=O)CC1(N)COC1,"5Ketone, 6Amine, 7Amide, 8Ether",4,0.39265412,6.1455708,110.3845
SAM132,NC(=O)Cc1c[nH]nn1,"5Ketone, 6Amine, 7Amide",3,0.6124997,3.375734,140.61125
SAM133,NC(=O)[C@@H](N)CN1CCOCC1,"5Ketone, 6Amine, 7Amide, 8Ether",4,0.9669387,6.9368553,69.41875
SAM134,NC(=O)[C@H](N)CN1CCOCC1,"5Ketone, 6Amine, 7Amide, 8Ether",4,0.96435463,6.9070764,71.48275
SAM135,N[C@@H](C[NH3+])[P@](=O)([O-])O,"1Alcohol, 6Amine",2,8.195091,4.1617455,220.519
SAM136,N[C@@H](C[NH+](CCO)CCO)C(=O)[O-],"1Alcohol, 5Ketone, 6Amine",3,7.1069217,4.271525,117.03475
SAM137,N[C@@H]1CC[NH2+][C@H]1C(=O)[O-],"5Ketone, 6Amine",2,8.660651,2.2785354,168.3095
SAM138,N[C@@H]1C[NH2+]C[C@H]1C(=O)[O-],"5Ketone, 6Amine",2,5.572754,0.49985734,161.19475
SAM139,N[C@@H]1C[NH2+]C[C@@H]1C(=O)[O-],"5Ketone, 6Amine",2,3.7369976,3.1213505,170.14725
SAM140,N[C@@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,"1Alcohol, 6Amine, 8Ether",3,5.273808,4.5647373,172.03425
SAM141,N[C@@H]1[C@H](NO)O[C@@H](CO)[C@@H](O)[C@@H]1O,"1Alcohol, 6Amine, 8Ether",3,7.356111,1.5939118,169.8835
SAM142,N[C@@H]1[C@H](NO)O[C@H](CO)[C@H](O)[C@@H]1O,"1Alcohol, 6Amine, 8Ether",3,8.47425,2.0236943,166.467
SAM143,N[C@@H]1[C@H](NO)O[C@@H](CO)[C@H](O)[C@@H]1O,"1Alcohol, 6Amine, 8Ether",3,8.581109,1.9981909,161.0455
SAM144,N[C@@H]1[C@H](NO)O[C@H](CO)[C@@H](O)[C@@H]1O,"1Alcohol, 6Amine, 8Ether",3,7.2688313,1.604344,165.81175
SAM145,N[C@H]1CC[NH2+][C@@H]1C(=O)[O-],"5Ketone, 6Amine",2,8.472051,2.3991563,179.67075
SAM146,N[C@H]1CC[NH2+][C@H]1C(=O)[O-],"5Ketone, 6Amine",2,6.389669,3.9887536,177.817
SAM147,N[C@H]1C[NH2+][C@@H](C(=O)[O-])C1,"5Ketone, 6Amine",2,8.4456215,2.7566512,178.61425
SAM148,N[C@H]1C[NH2+]C[C@H]1C(=O)[O-],"5Ketone, 6Amine",2,5.4403224,0.2431889,158.3295
SAM149,N[C@H]1C[NH2+]C[C@@H]1C(=O)[O-],"5Ketone, 6Amine",2,3.840445,3.0923278,158.43
SAM150,N[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,"1Alcohol, 6Amine, 8Ether",3,5.432335,3.5663412,168.83025
SAM151,NCC(=O)CCO,"1Alcohol, 5Ketone, 6Amine",3,4.961988,-0.06932144,166.65775
SAM152,NCC(=O)C[C@@H]([NH3+])C(=O)[O-],"5Ketone, 6Amine",2,6.365651,6.24197,160.97275
SAM153,NCC(=O)C[C@H]([NH3+])C(=O)[O-],"5Ketone, 6Amine",2,7.5458937,3.9957936,172.12175
SAM154,CNC(=O)[C@@H](N)[C@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,1.5591761,6.7578583,75.65225
SAM155,CNC(=O)[C@H](N)[C@@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,0.89586246,6.942269,91.33775
SAM156,CN1CCN(C[C@@H](O)CO)CC1,"1Alcohol, 6Amine",2,2.0312622,4.6529994,158.6205
SAM157,C[C@]1(C(N)=O)CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4,2.6673582,2.716038,122.99425
SAM158,CN1CCN(C[C@H](O)CO)CC1,"1Alcohol, 6Amine",2,2.1507728,4.4391675,157.1895
SAM159,CC1(N)C(=O)NC(=O)NC1=O,"5Ketone, 6Amine, 7Amide",3,5.463935,0.7339443,198.7365
SAM160,CN1[C@H]2CC(=O)C[C@@H]1[C@@H](O)[C@H]2O,"1Alcohol, 5Ketone, 6Amine",3,3.3907728,3.432049,134.9855
SAM161,CC(=O)NCCC(=O)NCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,1.9832246,3.4381924,110.51525
SAM162,CC(=O)N[C@@H](O)[C@@H](O)NC(C)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,6.218375,4.4792166,89.51275
SAM163,CC(=O)N[C@@H](O)[C@H](O)NC(C)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,5.9788113,5.293377,85.0655
SAM164,CC(=O)N[C@H](C)C(N)=O,"5Ketone, 6Amine, 7Amide",3,8.426958,3.1790652,117.6
SAM165,CC(=O)N[C@H](O)[C@@H](O)NC(C)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,5.8732753,5.4386544,86.02025
SAM166,CC(C)(CO)[C@H](O)C(=O)NCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,6.3958488,6.2884617,107.991
SAM167,CC(C)(CO)[C@@H](O)C(=O)NCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,7.540476,3.7469223,115.273
SAM168,CCNC(=O)C(=O)NCCOC,"5Ketone, 6Amine, 7Amide, 8Ether",4,6.5211143,6.0924997,79.332
SAM169,CCNC(=O)C(=O)NCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,7.95527,4.127976,121.14075
SAM170,CNC(=O)C(=O)NC,"5Ketone, 6Amine, 7Amide",3,6.4305177,6.534962,115.7845
SAM171,CNC(=O)CN1C(=O)CCC1=O,"5Ketone, 6Amine, 7Amide",3,7.102596,1.5415422,112.68575
SAM172,CNC(=O)NCCO,"1Alcohol, 6Amine, 7Amide",3,2.4364207,4.196611,112.84125
SAM173,COC(=O)C(N)C(=O)OC,"3Ester, 5Ketone, 6Amine, 8Ether",4,1.1052989,6.817584,113.0645
SAM174,COC(=O)C1(C(=O)OC)CN1,"3Ester, 5Ketone, 6Amine, 8Ether",4,-0.28417727,4.8167233,118.2965
SAM175,COC(=O)C1(C(=O)OC)ON1C,"3Ester, 5Ketone, 6Amine, 8Ether",4,3.4910321,0.16114783,110.948
SAM176,COC(=O)C1(N)COC1,"3Ester, 5Ketone, 6Amine, 8Ether",4,3.4877102,3.9413848,86.002
SAM177,COC(=O)[C@@H](N)CN1CCOCC1,"3Ester, 5Ketone, 6Amine, 8Ether",4,0.84474623,6.7839694,73.58425
SAM178,COC(=O)[C@@H](N)[C@@H](C)O,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5,1.7406335,6.088385,84.21575
SAM179,COC(=O)[C@@H](N)[C@H](C)O,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5,6.3607645,1.0262961,74.42025
SAM180,COC(=O)[C@@H](O)[C@@H](O)C(=O)OC,"1Alcohol, 3Ester, 5Ketone, 8Ether",4,1.4456996,7.1469264,110.87125
SAM181,COC(=O)[C@@H](O)[C@H](O)C(=O)OC,"1Alcohol, 3Ester, 5Ketone, 8Ether",4,7.748917,3.8098521,119.86425
SAM182,COC(=O)[C@H](N)[C@H](C)O,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5,1.4866178,6.462185,82.61525
SAM183,COC(=O)[C@H](N)[C@@H](C)O,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5,4.859142,3.2236493,75.4845
SAM184,COC(=O)[C@H](N)CN1CCOCC1,"3Ester, 5Ketone, 6Amine, 8Ether",4,3.2969234,4.147899,70.9445
SAM185,COC(=O)[C@H]1CS(=O)(=O)CCN1,"3Ester, 5Ketone, 6Amine, 8Ether",4,3.6269212,3.2154596,83.20275
SAM186,COC(=O)c1nnc(C(=O)OC)nn1,"3Ester, 8Ether",2,0.48814842,3.5808904,102.002
SAM187,CO[C@H]1O[C@H](OC)[C@H](O)[C@@H]1O,"1Alcohol, 8Ether",2,3.6288548,3.524398,117.39975
SAM188,CO[C@H]1O[C@@H](OC)[C@H](O)[C@H]1O,"1Alcohol, 8Ether",2,1.5262446,5.641269,115.81225
SAM189,CO[C@H]1O[C@@H](OC)[C@H](O)[C@@H]1O,"1Alcohol, 8Ether",2,5.3327017,0.2120449,116.6605
SAM190,CO[C@H]1O[C@@H](OC)[C@@H](O)[C@@H]1O,"1Alcohol, 8Ether",2,2.6474853,4.040531,117.5195
SAM191,CO[C@H]1O[C@@H](OC)[C@@H](O)[C@H]1O,"1Alcohol, 8Ether",2,3.5351226,2.9165661,116.57475
SAM192,CS(=O)(=O)NO,"1Alcohol, 6Amine",2,3.4375036,2.724943,104.15825
SAM193,C[C@@H](O)C(=O)NCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,6.575456,6.285843,109.14
SAM194,CNC(=O)CNC(C)=O,"5Ketone, 6Amine, 7Amide",3,6.0909276,6.038467,95.9265
SAM195,Cn1ncnc2c(=O)n(C)c(=O)nc1-2,11Other,1,7.7800293,4.985951,114.667
SAM196,NC(=O)CCc1nc(N)n[nH]1,"5Ketone, 6Amine, 7Amide",3,1.9273518,4.727868,114.02725
SAM197,NC(=O)Cn1cc(N)ccc1=O,"5Ketone, 6Amine, 7Amide",3,3.9490035,5.982522,77.1865
SAM198,NC(=O)Cc1nonc1N,"5Ketone, 6Amine, 7Amide",3,5.3430743,0.28681564,101.528
SAM199,NC(=O)Cc1nc[nH]n1,"5Ketone, 6Amine, 7Amide",3,0.4115256,3.5164716,108.5405
SAM200,NC(=O)NC(=O)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,1.1677372,5.786683,100.34075
SAM201,NC(=O)NCCN1CCOCC1,"6Amine, 7Amide, 8Ether",3,0.773327,4.583427,77.5845
SAM202,NC(=O)NCCO,"1Alcohol, 6Amine, 7Amide",3,1.9577097,4.832641,115.9935
SAM203,NC(=O)NC(CO)(CO)CO,"1Alcohol, 6Amine, 7Amide",3,5.0554504,5.140174,123.3615
SAM204,NC(=O)NC1NCCN1,"6Amine, 7Amide",2,0.267588,4.841737,76.6275
SAM205,NC(=O)C(C(N)=O)C1CC1,"5Ketone, 6Amine, 7Amide",3,3.4434385,-0.057318106,115.5685
SAM206,CNC(=O)c1noc(CN)n1,"6Amine, 7Amide",2,8.683965,1.933582,90.3335
SAM207,NC(=O)[C@@H]1CO1,"5Ketone, 6Amine, 7Amide, 8Ether",4,0.050093222,5.9595385,92.11925
SAM208,NC(=O)[C@@H](O)[C@H]1CCOC1,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5,1.5257512,6.8203626,72.40075
SAM209,NC(=O)[C@@H](O)[C@@H]1CCOC1,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5,5.809292,3.9362063,82.39825
SAM210,NC(=O)[C@@H]1CCC(=O)N1,"5Ketone, 6Amine, 7Amide",3,6.051294,5.6460834,102.63025
SAM211,NC(=O)[C@@H]1COCCN1,"5Ketone, 6Amine, 7Amide, 8Ether",4,3.7113986,2.8935935,75.88825
SAM212,NC(=O)[C@H](O)[C@@H]1CCOC1,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5,5.7440505,3.9512672,78.5635
SAM213,NC(=O)[C@H](O)[C@H]1CCOC1,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5,5.3214717,5.0800986,72.845
SAM214,NC(=O)[C@H]1CCC(=O)N1,"5Ketone, 6Amine, 7Amide",3,6.01671,5.505077,101.55875
SAM215,NC(=O)[C@H]1COCCN1,"5Ketone, 6Amine, 7Amide, 8Ether",4,2.183322,4.692298,81.5965
SAM216,NC(=O)[C@H]1CO1,"5Ketone, 6Amine, 7Amide, 8Ether",4,0.07443738,5.902868,97.13125
SAM217,NN1CC(=O)NC1=O,"5Ketone, 6Amine, 7Amide",3,4.3135777,0.20654942,105.77125
SAM218,C1CNn2nnnc2N1,6Amine,1,1.9555949,3.3883367,122.14575
SAM219,C=CC(=O)NC(CO)(CO)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,1.3679613,7.0486865,97.64725
SAM220,CC(=O)Cn1nnnc1N,"5Ketone, 6Amine",2,1.7218218,3.5431175,119.04525
SAM221,CC(=O)NC(NC(C)=O)NC(C)=O,"5Ketone, 6Amine, 7Amide",3,3.3706136,-0.006711911,107.88575
SAM222,CC(=O)NC(CO)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,1.3479322,6.822474,106.164
SAM223,CC(=O)NCC(=O)CNC(C)=O,"5Ketone, 6Amine, 7Amide",3,5.6063433,4.0134172,88.64575
SAM224,NC(=O)C1(O)CNC1,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,5.1171064,5.341687,102.61925
