SAMindex,EGsmlie2D,Category,kinds,UMAP1,UMAP2,TC_mean
SAM272,C[C@@]1(C(=O)NCCO)CNCCO1,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5,3.4256554,3.985,79.8305
SAM273,C[C@@H](O)[C@H](N)C(N)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,6.5745273,4.2031446,210.4105
SAM274,Cn1c(CN)n[nH]c1=O,6Amine,1,4.361032,3.0863006,145.427
SAM275,NC(=O)[C@H](N)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,5.345205,4.9999933,154.62575
SAM276,NC(=O)[C@@H](N)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,4.7482333,5.543789,152.52825
SAM277,NC(=O)C(=O)N1CCNCC1,"5Ketone, 6Amine, 7Amide",3,5.5927386,3.709223,84.62875
SAM278,NC(=O)CCN1CCN(C=O)CC1,"5Ketone, 6Amine, 7Amide",3,3.869932,0.18758759,143.44975
SAM279,NC(=O)CN1CCC[C@H](C(N)=O)C1,"5Ketone, 6Amine, 7Amide",3,1.8527343,2.8457491,153.3895
SAM280,NC(=O)C[C@@H]1COCCN1,"5Ketone, 6Amine, 7Amide, 8Ether",4,3.5998418,0.37494805,61.3245
SAM281,NC(=O)C[C@H]1COCCN1,"5Ketone, 6Amine, 7Amide, 8Ether",4,0.7421087,4.5999064,56.52975
SAM282,NC(=O)[C@@H]1Cc2nc[nH]c2CN1,"5Ketone, 6Amine, 7Amide",3,4.2683773,4.9366193,130.57225
SAM283,NC(=O)[C@@H]1CNCCC1=O,"5Ketone, 6Amine, 7Amide",3,0.26277477,4.169983,88.1515
SAM284,NC(=O)[C@@H]1CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4,0.40324265,6.325646,77.6795
SAM285,NC(=O)[C@@]1(N)CCOC1,"5Ketone, 6Amine, 7Amide, 8Ether",4,4.4974732,5.7410655,84.96375
SAM286,NC(=O)[C@H]1CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4,0.33903214,6.4719925,77.53575
SAM287,NC(=O)[C@]1(N)CCOC1,"5Ketone, 6Amine, 7Amide, 8Ether",4,3.810118,6.12682,79.212
SAM288,NC(=O)[C@H]1Cc2nc[nH]c2CN1,"5Ketone, 6Amine, 7Amide",3,5.3112345,3.479111,132.676
SAM289,NC(=O)[C@H]1CNCCC1=O,"5Ketone, 6Amine, 7Amide",3,0.23278484,4.294346,85.12325
SAM290,NCc1nc(N)n[nH]1,6Amine,1,2.3414266,4.6125402,154.91075
SAM291,NCc1nc(N)nc(N)n1,6Amine,1,0.31140995,3.6885905,143.9275
SAM292,N[C@@H]1CC[NH2+][C@@H]1C(=O)[O-],"5Ketone, 6Amine",2,5.961333,4.6820383,169.6565
SAM293,N[C@@H]1C[NH2+][C@H](C(=O)[O-])C1,"5Ketone, 6Amine",2,6.8788767,4.0983696,184.703
SAM294,N[C@@H]1C[NH2+][C@@H](C(=O)[O-])C1,"5Ketone, 6Amine",2,6.275831,4.900829,184.987
SAM295,N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,"1Alcohol, 6Amine, 8Ether",3,7.228545,1.7058692,164.41975
SAM296,N[C@H]1C[NH2+][C@H](C(=O)[O-])C1,"5Ketone, 6Amine",2,8.23191,2.9007394,183.9305
SAM297,CNC(=O)NC[C@@H]1COCCN1,"6Amine, 7Amide, 8Ether",3,0.6398559,6.0770817,76.0695
SAM298,NC(=O)c1nc[nH]n1,"6Amine, 7Amide",2,1.5910221,3.014297,145.1265
SAM299,NC(=O)c1nc(N)nc2c1CNCC2,"6Amine, 7Amide",2,0.71683586,6.7345176,89.19175
SAM300,CNC(=O)[C@@H](N)[C@@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,4.3520184,5.7781563,84.56275
