SAMindex,EGsmlie2D,Category,kinds
SAM065,C[C@H](O)[C@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone",2
SAM066,CN(C)C(=O)N=C(N)N,"6Amine, 7Amide",2
SAM067,OC[C@@H]1O[C@H](S)[C@H](O)[C@H](O)[C@H]1O,"1Alcohol, 8Ether",2
SAM068,CNC(N=N)NC,6Amine,1
SAM069,OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1O,"1Alcohol, 8Ether",2
SAM070,COC1NCC(C=O)CN1,"5Ketone, 6Amine, 8Ether",3
SAM071,CNC(N=N)N(C)C,6Amine,1
SAM072,CCNC(=O)C(=O)NC[C@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM073,CCNC(=O)C(=O)NC[C@@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM074,C[C@@H](NC(=O)[C@@H]([NH3+])[C@@H](C)O)C(=O)[O-],"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM075,CNC(=O)C(=O)NC[C@@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM076,CNC(=O)CC(=O)NC,"5Ketone, 6Amine, 7Amide",3
SAM077,CNC(=O)NCNC(=O)NC,"6Amine, 7Amide",2
SAM078,CNC(=O)[C@@H](O)[C@@H](O)C(=O)NC,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM079,CN[C@@H](CO)C(=O)OC,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5
SAM080,COC(=O)C(NC=O)C(=O)OC,"3Ester, 5Ketone, 6Amine, 7Amide, 8Ether",5
SAM081,COC(=O)C1(O)CNC1,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5
SAM082,COC(=O)[C@@H](N)[C@@H](O)C(=O)OC,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5
SAM083,COC(=O)[C@H](N)[C@@H](O)C(=O)OC,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5
SAM084,CO[C@H]1O[C@H](CO)[C@H](C)[C@@H](O)[C@@H]1O,"1Alcohol, 8Ether",2
SAM085,CO[C@H]1O[C@H](CO)[C@H](C)[C@@H](O)[C@H]1O,"1Alcohol, 8Ether",2
SAM086,CO[C@H]1O[C@@H](CO)[C@H](C)[C@@H](O)[C@H]1O,"1Alcohol, 8Ether",2
SAM087,CO[C@H]1O[C@@H](CO)[C@H](C)[C@@H](O)[C@@H]1O,"1Alcohol, 8Ether",2
SAM088,CO[C@H]1OC[C@@H](C(C)=O)[C@@H](O)[C@H]1O,"1Alcohol, 5Ketone, 8Ether",3
SAM089,CO[C@H]1OC[C@H](C(C)=O)[C@@H](O)[C@H]1O,"1Alcohol, 5Ketone, 8Ether",3
SAM090,CS(=O)(=O)CN,6Amine,1
SAM091,CS(=O)(=O)c1cc(=O)[nH]c(=O)[nH]1,11Other,1
SAM092,C[C@@H](O)C(=O)NC(C)(CO)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM093,C[C@@H](O)CNC(=O)[C@@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM094,C[C@@]1(O)[C@H](O)O[C@](C)(CO)[C@]1(C)O,"1Alcohol, 8Ether",2
SAM095,C[C@H](O)C(=O)NC(C)(CO)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM096,Cn1c(=O)[nH]c(=O)c2c(O)c[nH]c21,1Alcohol,1
SAM097,CNC(=O)C(=O)NCCCOC,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM098,CNC(=O)C(=O)NCCOC,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM099,NC(=O)NCN1CCOCC1,"6Amine, 7Amide, 8Ether",3
SAM100,NC(=O)[C@@H]1CC[C@H](C(=O)[O-])[NH2+]1,"5Ketone, 6Amine, 7Amide",3
