SAMindex,TC_mean,log10(-c_interface_mean),c_interface_mean_to1,SAM_length_gm_mean_to1,Water_bending_overlap_factor_to1,Water_stretching_overlap_factor_to1,5X0,5X1,9X2,12X3
SAM174,118.2965,2.211192775,0.907899704,0.410846941,0.117676818,0.06388112,-5.235563858,-2.747802337,1.502755481,0.643294252
SAM175,110.948,2.165874546,0.921252525,0.408718404,0.109478052,0.010701082,-5.629091065,-2.909497217,1.71962557,0.720228906
SAM176,86.002,2.083415585,0.942246975,0.251980548,0.439789405,0.171225919,-6.383489787,-3.073963615,2.030362242,0.767367432
SAM177,73.58425,2.085241974,0.941823828,0.515491779,0.328916753,0.109751739,-6.366293444,-3.329952363,2.385722551,0.913416472
SAM178,84.21575,1.916981563,0.97421122,0.302521287,0.366406464,0.2020752,-8.019897114,-3.947301925,2.998111214,1.11736329
SAM179,74.42025,1.879723986,0.979838131,0.308628273,0.348836071,0.229572169,-8.398917125,-4.202423743,3.266609633,1.198318828
SAM180,110.87125,2.240656929,0.898440131,0.417506498,0.332021703,0.019200637,-4.988502303,-2.651543552,1.595508879,0.58825619
SAM181,119.86425,2.255051532,0.893580054,0.394699465,0.333333621,0.017741741,-4.870421347,-2.579329516,1.500712288,0.544278413
SAM182,82.61525,1.913366482,0.974778586,0.306147696,0.361838581,0.212859788,-8.056556193,-3.973464306,3.027403564,1.126714968
SAM183,75.4845,1.900333673,0.976785246,0.29153069,0.356039343,0.200496163,-8.188944975,-4.042776702,3.088975128,1.145442032
SAM184,70.9445,2.073065304,0.944611655,0.516452206,0.330434724,0.117041189,-6.481324806,-3.381482884,2.442746891,0.933903043
SAM185,83.20275,2.059229712,0.947685861,0.399389903,0.157846224,0.118631187,-6.613090148,-3.323132697,2.294088926,0.906410541
SAM186,102.002,2.161220795,0.92254649,0.508153626,0.103463187,0.001025084,-5.670393341,-3.02619305,1.883095026,0.779177777
SAM187,117.39975,2.054883002,0.948631637,0.404718403,0.059619935,0.046917878,-6.654712058,-3.347199718,2.223965665,0.914004456
SAM188,115.81225,2.046827501,0.950359556,0.400690743,0.065936156,0.040081172,-6.732123421,-3.378290686,2.273513794,0.925727587
SAM189,116.6605,2.052296978,0.949189841,0.402634434,0.064380129,0.046477032,-6.679524399,-3.356333469,2.243405043,0.917430806
SAM190,117.5195,2.049099121,0.94987553,0.400934382,0.064589881,0.050646377,-6.710257893,-3.36857837,2.25899061,0.922267295
SAM191,116.57475,2.035663366,0.952701907,0.404676702,0.061470956,0.052158045,-6.839983087,-3.431833214,2.336000926,0.947395682
SAM192,104.15825,2.173207056,0.919185394,0.171538545,0,0.26149218,-5.564343976,-2.645298244,1.592286056,0.49989837
SAM193,109.14,2.134892765,0.929611472,0.324184462,0.212929506,0.197232219,-5.907036469,-2.941637132,1.833228532,0.732880243
SAM194,95.9265,2.068278866,0.945686278,0.213669436,0.31260609,0.09378534,-6.526783728,-3.098855553,1.962141167,0.753975747
SAM195,114.667,2.398048726,0.835449144,0.627483206,0.083969291,0.012028429,-3.795758511,-2.343472333,0.656850211,0.396244274
SAM196,114.02725,1.908534322,0.975529626,0.379808049,0.080355534,0.560018616,-8.105601534,-4.077738366,3.107017025,1.174554582
SAM197,77.1865,1.711618318,1,0.460936084,0.107291349,0.310509498,-10.11111111,-0.460936084,1.173165265,0.989392864
SAM198,101.528,2.010649004,0.957736624,0.220391388,0.115655268,0.313187769,-7.083935251,-3.362712236,2.164973363,0.882022867
SAM199,108.5405,1.967199899,0.965821173,0.21632914,0.066361785,0.443031901,-7.51428131,-3.57514016,2.36665338,0.965864114
SAM200,100.34075,1.966252515,0.965988599,0.096687152,0.661135328,0.496108047,-7.523746832,-3.460494906,2.148527483,0.811485413
SAM201,77.5845,2.076865298,0.943750028,0.508655627,0.08329165,0.252529984,-6.445330955,-3.357798039,2.2858139,0.92926173
SAM202,115.9935,2.123384516,0.932567646,0.14391809,0.121803322,0.537740378,-6.012019726,-2.805844715,1.202560395,0.584182696
SAM203,123.3615,2.259024849,0.892209922,0.281368443,0.16332965,0.352064887,-4.838135885,-2.452453144,1.043387317,0.481485564
SAM204,76.6275,1.937653976,0.970874503,0.234971196,0.104688819,0.749678101,-7.810877052,-3.75636987,2.649203129,1.044952122
SAM205,115.5685,2.12168484,0.932997648,0.277632193,0.265234371,0.220728004,-6.027602166,-2.946183849,1.83583762,0.721971068
SAM206,90.3335,2.059404741,0.947647579,0.285820017,0.383674627,0.297342851,-6.611416387,-3.20881129,2.195479035,0.844952047
SAM207,92.11925,1.946904705,0.969329132,0.077864585,0.105571624,0.112886254,-7.717718762,-3.546771486,1.903501582,0.790923393
SAM208,72.40075,2.031012981,0.95365998,0.31527042,0.252755941,0.101114414,-6.885102563,-3.363389509,2.34740867,0.908208836
SAM209,82.39825,2.071949558,0.944863215,0.316184647,0.260185174,0.116771774,-6.491909488,-3.185899296,2.148052629,0.835682789
SAM210,102.63025,2.212315689,0.907550829,0.202604921,0.236694365,0.116711561,-5.226018236,-2.535590414,1.162875302,0.446014877
SAM211,75.88825,2.066012081,0.946191085,0.217693957,0.252333529,0.169880176,-6.54835904,-3.112482174,1.95424006,0.767101944
SAM212,78.5635,2.051428217,0.949376622,0.303567624,0.259409487,0.10649782,-6.687868239,-3.261047015,2.22532424,0.863701982
SAM213,72.845,2.039921133,0.951815679,0.321276936,0.267921266,0.114397846,-6.798770406,-3.329408212,2.318520493,0.896423669
SAM214,101.55875,2.209997859,0.908269961,0.20084011,0.235127774,0.105316654,-5.245732733,-2.54202435,1.166351091,0.446703199
SAM215,81.5965,2.076750709,0.943776121,0.217098604,0.273242443,0.152121988,-6.4464151,-3.06671869,1.910221707,0.744666248
SAM216,97.13125,1.961431913,0.966834881,0.092468922,0.097485898,0.10283697,-7.571959097,-3.481909131,1.900305202,0.793321494
SAM217,105.77125,2.119412232,0.933569974,0.203469091,0.235168781,0.327543432,-6.048467889,-2.880902408,1.632111257,0.659279325
SAM218,122.14575,2.228784068,0.902329318,0.284002474,0.008063343,0.300271612,-5.087200184,-2.559208537,-1.008316922,0.535335701
SAM219,97.64725,2.296682503,0.878582541,0.725169258,0.152605919,0.15348242,-4.538882287,-2.769665219,1.547285119,0.647118534
SAM220,119.04525,2.048196343,0.950068193,0.312669626,0.096755053,0.329511968,-6.718944268,-3.284265249,2.149562515,0.88441524
SAM221,107.88575,2.152792673,0.924854904,0.444469271,0.282730757,0.390130276,-5.745601049,-2.993998742,1.983898077,0.784968128
SAM222,106.164,2.111055672,0.935648893,0.243819172,0.086189467,0.193992159,-6.125491502,-2.954147157,1.603900641,0.709123852
SAM223,88.64575,1.917924687,0.974062424,0.439004982,0.183415238,0.10703527,-8.010338149,-4.077956366,3.157690635,1.173001529
SAM224,102.61925,2.032689985,0.953315666,0.174458495,0.292938287,0.165083932,-6.868819085,-3.214995764,2.01605557,0.782590427
SAM225,150.1165,2.635554434,0.684634483,1,0.179410708,0.264488721,-2.413904383,-1.970561653,-0.081916549,0.101796538
SAM226,152.624,2.219147453,0.905408736,0.686835496,0.053923896,0.099677955,-5.168162634,-2.995752642,1.690098779,0.758092186
SAM227,93.56175,2.095247903,0.939473755,0.534708,0.186718821,0.208297568,-6.272449729,-3.308330927,2.305954584,0.908000327
SAM228,126.06525,2.122032032,0.932909949,0.134209725,0.288516855,0.529277343,-6.02441757,-2.801406885,1.394317936,0.568246992
SAM229,194.26725,2.290672697,0.880837356,0.233849922,0.499503553,0.16800947,-4.585815077,-2.29834545,1.136906651,0.326992986
SAM230,195.95725,2.250142725,0.895255555,0.247235584,0.50371402,0.154272569,-4.910492913,-2.448654358,1.337133834,0.432003956
SAM231,130.46425,2.227254704,0.902822606,0.659573226,0.046740467,0.087122767,-5.0999984,-2.940111208,1.585385382,0.734543774
SAM232,147.03825,2.447554119,0.810430806,0.619904418,0.395179256,0.244134877,-3.466561461,-2.17965108,1.035830749,0.335043501
SAM233,172.88625,2.638993797,0.681787908,0.479211101,0.297021635,0.345375262,-2.397430774,-1.438835691,-0.522021481,0.175652049
SAM234,77.21,1.972886373,0.964808525,0.371935532,0.063827708,0.322379,-7.457534529,-3.701027614,2.658270927,1.048726068
SAM235,174.8685,2.67467677,0.650885816,0.838452302,0.292054863,0.360785275,-2.232066713,-1.683769675,-0.103669242,0.011779282
SAM236,163.7685,2.205998397,0.909501847,0.638331527,0.062044603,0.111513824,-5.2798519,-2.993703131,1.730368764,0.763314405
SAM237,150.8895,2.215599905,0.906525272,0.210912165,0.24067963,0.212029214,-5.198158293,-2.532309397,1.18032797,0.46499828
SAM238,146.61725,2.21813164,0.90572938,0.202685748,0.239638558,0.178390985,-5.176741221,-2.51517255,1.137268563,0.442660051
SAM239,147.17925,2.29404734,0.879575068,0.228549674,0.220809015,0.628015595,-4.559422317,-2.281806134,0.795363482,0.399170182
SAM240,112.7445,2.306116077,0.87497963,0.355131043,0.546644976,0.382948394,-4.465851376,-2.368375393,1.350175475,0.463217414
SAM241,168.05525,2.307763969,0.874342191,0.242227658,0.294944272,0.663992398,-4.453174489,-2.25003002,0.893701867,0.396873893
SAM242,102.54675,2.146369386,0.926584369,0.184877747,0.075952003,0.278938467,-5.803267045,-2.758613311,1.118852159,0.577576058
SAM243,158.52325,2.337017119,0.862614441,0.322857131,0.20607551,0.31079422,-4.232147549,-2.234837292,0.817677678,0.362058933
SAM244,157.45275,2.322950496,0.868352461,0.286455254,0.239753878,0.330697938,-4.337479541,-2.244333638,0.860131767,0.356627026
SAM245,138.41625,2.185799289,0.91555302,0.658143177,0.062900412,0.090900385,-5.454106779,-3.085985385,1.860810326,0.801739422
SAM246,147.5875,2.35930603,0.85313315,0.206438606,0.037710434,0.256193839,-4.068878812,-2.046298698,-0.873820309,0.140468764
SAM247,113.01625,2.043885141,0.950982749,0.464945059,0.327111176,0.339802181,-6.760486449,-3.45550361,2.521684237,0.968365737
SAM248,189.02575,2.311748082,0.872791024,0.236450007,0.316615568,0.605515149,-4.42262469,-2.231115725,0.885348775,0.372299092
SAM249,143.703,2.345591738,0.85902443,0.807846467,0.573411169,0.137486169,-4.168808932,-2.691998123,1.678714246,0.590094803
SAM250,139.22025,2.160511911,0.922742379,0.564064365,0.037025216,0.042392145,-5.676698835,-3.084740842,1.799158853,0.806158572
SAM251,78.32825,2.014210057,0.957037461,0.176433858,0.054953303,0.286455693,-7.049022673,-3.301984561,1.896730109,0.828096744
SAM252,138.537,2.363568798,0.851263758,0.550935042,0.341758017,0.18158082,-4.038163212,-2.377079396,1.262895411,0.45318418
SAM253,163.802,2.268472933,0.888901121,0.376587307,0.078327715,0.236719952,-4.761905263,-2.515615175,0.979792505,0.53096296
SAM254,74.32625,2.051065414,0.949454513,0.509249491,0.092428842,0.465384044,-6.691353931,-3.46830937,2.431603219,0.977068741
SAM255,127.93275,2.16461503,0.921604101,0.240065446,0.614038652,0.199671169,-5.640253427,-2.745507032,1.70726572,0.602939806
SAM256,84.562,2.061258335,0.947241214,0.286813555,0.040747732,0.186087921,-6.59370143,-3.20186017,1.899172282,0.837365483
SAM257,136.585,2.349052166,0.857555429,0.459260067,0.278769662,0.130697011,-4.143434603,-2.332211402,1.141883408,0.417299674
SAM258,136.219,2.360457141,0.852630149,0.525205564,0.346459042,0.207680292,-4.06056825,-2.361359564,1.248657865,0.448760391
